s.no,code,Station,Latitude,Longitude
166,BATL,Baihatola,23.2293752,82.0505708
167,BLX,Bolai,23.3615483,76.4869936
168,PAI,Pabai,23.7675213,77.932037
169,LNR,Luni Richha,23.6611605,75.5142508
170,PTHD,Patohan,23.9138843,80.1992535
171,LOA,Lorha,23.5811172,80.751695
172,MFQ,Mahroi,23.9508929,80.9187709
173,GAJB,Gajara Bahara,24.0530969,82.2941583
174,DWG,Dewanganj,23.4286917,77.5924073
175,RSJ,Rayser,24.8868241,77.5133707
176,THUR,Thuria,23.8355835,75.5548239
177,GHAI,Ghatigaon,26.0663746,77.938312
178,MZH,Mauhari,23.1189104,81.7698294
179,AGR,Amargarh,23.062727,74.7374314
180,HRV,Harrad,23.1612735,81.9039881
181,SGBJ,Surgaon Banjari,21.946563,76.5441961
182,VYK,Vilayatkalan Road,23.701412,80.6364861
183,JOBA,Joba,24.0899488,81.7027259
184,RNH,Runkhera,23.4143977,75.1892978
185,NWB,Niwas Road,24.0823494,81.9345177
186,BOG,Bhairongarh,23.1450954,74.776758
187,BRUD,Barud,22.0282255,76.7637491
188,NLI,Namli,23.4555165,75.0669853
189,UKR,Udalkachar,23.2897066,82.2657376
190,DRSN,Dhurwasin,23.1293445,81.8461597
191,HPKA,Hinotia Pipalkhera,24.5312998,77.7996519
192,LWS,Lukwasa,25.106169,77.5909452
193,BJQ,Baghora,24.1362553,78.2604655
194,BDWA,Badhwabara,23.2946437,81.2868547
195,GGT,Ghunghuti,23.3436694,81.1859339
196,KCR,Khonker,25.3123357,77.5799366
197,RTI,Raoti,23.183751,74.8795092
198,BILD,Bildi,23.2251382,74.9182418
199,MRN,Morwani,23.2760326,74.9781758
200,PUO,Pir Umrod,23.2563285,76.2302901
201,DADN,Dr Ambedkar Nagar,22.5555977,75.7709215
202,RTWS,Rahatwas,24.5184447,77.8801503
203,MCSC,Maharaja Chhatrasal Station Chhatarpur,24.8780371,79.6151277
204,TKMG,Tikamgarh,24.7665639,78.8403957
205,KHGP,Khargapur,24.846137,79.1845286
206,BBTR,Barbatpur,22.196907,77.9197282
207,BXY,Bordhai,21.9976242,78.3485316
208,PUX,Parasia,22.1933175,78.7640139
209,NVG,Nawegaon,22.0880946,78.4372727
210,KHA,Khaigaon,22.0062137,76.4778113
